"USPS","GEOID","POP00","HU00","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","COUNTY","dcbd","countycode","statecode","tract00"
"TX","48201322400",5110,1637,3087650,109416,1.1921,0.0422,29.707928,-95.20576,"Harris",10.4709410968591,"201","48","322400"
"TX","48201322500",47,14,16906761,863328,6.5277,0.3333,29.726978,-95.176309,"Harris",11.8186983902832,"201","48","322500"
"TX","48201322600",4923,1785,2518357,0,0.9723,0,29.697654,-95.156739,"Harris",13.4798529021782,"201","48","322600"
"TX","48201322700",7442,2239,2046313,0,0.7901,0,29.701228,-95.165284,"Harris",12.9153606912596,"201","48","322700"
"TX","48201322800",6506,1984,3145275,0,1.2144,0,29.705175,-95.179276,"Harris",12.0329821191975,"201","48","322800"
"TX","48201322900",4119,1310,1671897,0,0.6455,0,29.703228,-95.19448,"Harris",11.2182048556971,"201","48","322900"
"TX","48201323000",7125,2323,1396666,0,0.5393,0,29.692429,-95.190907,"Harris",11.6975341487876,"201","48","323000"
"TX","48201323100",3476,1232,2031266,0,0.7843,0,29.689978,-95.171388,"Harris",12.8419372531916,"201","48","323100"
"TX","48201323200",5233,1837,2096792,0,0.8096,0,29.687179,-95.183134,"Harris",12.2709099432133,"201","48","323200"
"TX","48201323300",3421,1373,1286646,0,0.4968,0,29.686129,-95.201485,"Harris",11.3093719057186,"201","48","323300"
"TX","48201323400",6714,2288,1979706,0,0.7644,0,29.678529,-95.19926,"Harris",11.6732129234792,"201","48","323400"
"TX","48201323500",4965,1867,2645359,0,1.0214,0,29.665872,-95.201024,"Harris",12.0311560409328,"201","48","323500"
"TX","48201323600",6507,2768,5266101,0,2.0333,0,29.64635,-95.189209,"Harris",13.378692579949,"201","48","323600"
"TX","48201323700",7117,3257,3243122,0,1.2522,0,29.652085,-95.177365,"Harris",13.7403112165472,"201","48","323700"
"TX","48201323800",8101,2919,3708556,0,1.4319,0,29.674229,-95.183759,"Harris",12.6322166829407,"201","48","323800"
"TX","48201323900",3419,1271,2781142,0,1.0738,0,29.671179,-95.164935,"Harris",13.7321693195856,"201","48","323900"
"TX","48201324000",3825,1365,9230917,0,3.5641,0,29.651829,-95.170159,"Harris",14.1144810438076,"201","48","324000"
"TX","48201330100",11632,3643,20512445,6760,7.9199,0.0026,29.639709,-95.430459,"Harris",9.08449756166279,"201","48","330100"
"TX","48201330200",2881,1043,4462339,0,1.7229,0,29.633332,-95.459007,"Harris",10.2698936055424,"201","48","330200"
"TX","48201330300",8347,2539,14493021,0,5.5958,0,29.621746,-95.486958,"Harris",11.8707603134225,"201","48","330300"
"TX","48201330400",3764,1110,4330022,0,1.6718,0,29.618924,-95.455568,"Harris",11.0331285766691,"201","48","330400"
"TX","48201330500",4249,1225,2720917,0,1.0506,0,29.623432,-95.433657,"Harris",10.1948343916547,"201","48","330500"
"TX","48201330600",5992,1821,3732804,0,1.4412,0,29.612433,-95.43691,"Harris",10.9725378948899,"201","48","330600"
"TX","48201330700",5605,1597,6239359,0,2.409,0,29.599633,-95.452193,"Harris",12.1431767008236,"201","48","330700"
"TX","48201330800",2773,977,31419185,54543,12.131,0.0211,29.609932,-95.35974,"Harris",10.3941721859457,"201","48","330800"
"TX","48201330900",3410,1182,10353842,0,3.9976,0,29.607082,-95.410889,"Harris",10.8590613631421,"201","48","330900"
"TX","48201331000",4,2,10012227,0,3.8657,0,29.665981,-95.391423,"Harris",6.63602540364918,"201","48","331000"
"TX","48201331100",3182,1408,3289261,0,1.27,0,29.673795,-95.36822,"Harris",5.967658654057,"201","48","331100"
"TX","48201331200",2715,1218,3456236,0,1.3345,0,29.66383,-95.363165,"Harris",6.66660218912136,"201","48","331200"
"TX","48201331300",4735,1809,4386299,0,1.6936,0,29.648931,-95.37494,"Harris",7.69047364644763,"201","48","331300"
"TX","48201331400",2601,1014,1599547,0,0.6176,0,29.652781,-95.366186,"Harris",7.42109004885816,"201","48","331400"
"TX","48201331500",6180,2218,9280193,0,3.5831,0,29.631298,-95.361452,"Harris",8.91530218984851,"201","48","331500"
"TX","48201331600",8787,3347,9084964,0,3.5077,0,29.629896,-95.341666,"Harris",9.15399502448822,"201","48","331600"
"TX","48201331700",4229,1470,5283086,0,2.0398,0,29.643331,-95.338061,"Harris",8.29052120455374,"201","48","331700"
"TX","48201331800",2751,1083,2323624,0,0.8972,0,29.652164,-95.34607,"Harris",7.5939243775172,"201","48","331800"
"TX","48201331900",3460,1304,1644045,0,0.6348,0,29.66178,-95.346014,"Harris",6.94331627635332,"201","48","331900"
"TX","48201332000",5720,1947,2228584,0,0.8605,0,29.67228,-95.347131,"Harris",6.22039078723308,"201","48","332000"
"TX","48201332100",3016,981,1012995,0,0.3911,0,29.68033,-95.342976,"Harris",5.7434967141316,"201","48","332100"
"TX","48201332200",5206,1635,2842246,0,1.0974,0,29.68193,-95.332897,"Harris",5.83800115910999,"201","48","332200"
"TX","48201332300",3045,1017,1204006,0,0.4649,0,29.66598,-95.322398,"Harris",7.09772458442008,"201","48","332300"
"TX","48201332400",4480,1530,3530119,0,1.363,0,29.66133,-95.334614,"Harris",7.14432278602367,"201","48","332400"
"TX","48201332500",3190,1096,1978186,0,0.7638,0,29.66478,-95.307677,"Harris",7.56635484584715,"201","48","332500"
"TX","48201332600",6087,1914,3249067,0,1.2545,0,29.67533,-95.304504,"Harris",7.04478955718827,"201","48","332600"
"TX","48201332700",2805,839,2543291,0,0.982,0,29.683555,-95.313752,"Harris",6.26616703397683,"201","48","332700"
"TX","48201332800",5027,1512,1964045,0,0.7583,0,29.691079,-95.303446,"Harris",6.20976314206165,"201","48","332800"
"TX","48201332900",5632,1599,1885963,0,0.7282,0,29.690829,-95.291662,"Harris",6.69620051615575,"201","48","332900"
"TX","48201333000",3313,1051,1586011,0,0.6124,0,29.681279,-95.285257,"Harris",7.43885911820759,"201","48","333000"
"TX","48201333100",3291,1186,1208667,0,0.4667,0,29.67483,-95.278149,"Harris",8.05538100607185,"201","48","333100"
"TX","48201333200",11643,4373,3407350,0,1.3156,0,29.66593,-95.267691,"Harris",8.93285198833333,"201","48","333200"
"TX","48201333300",5567,2038,6512462,0,2.5145,0,29.63833,-95.250889,"Harris",11.0272777116923,"201","48","333300"
"TX","48201333400",34,20,6103532,0,2.3566,0,29.64608,-95.277064,"Harris",9.64195165768838,"201","48","333400"
"TX","48201333500",6820,2442,1946803,0,0.7517,0,29.66733,-95.282483,"Harris",8.27527554678213,"201","48","333500"
"TX","48201333600",3094,1207,3659177,0,1.4128,0,29.65723,-95.302361,"Harris",8.17720539892622,"201","48","333600"
"TX","48201333700",2571,910,8928020,0,3.4471,0,29.634031,-95.286143,"Harris",10.0510305257088,"201","48","333700"
"TX","48201333800",8173,2618,8784940,0,3.3919,0,29.615081,-95.276812,"Harris",11.4659167444339,"201","48","333800"
"TX","48201333900",6944,2925,9023853,0,3.4841,0,29.613081,-95.243911,"Harris",12.6547623456611,"201","48","333900"
"TX","48201334000",9155,3584,5547060,0,2.1417,0,29.609281,-95.230969,"Harris",13.3366029254454,"201","48","334000"
"TX","48201340100",2728,1367,8163493,0,3.1519,0,29.595781,-95.179972,"Harris",16.0767138325111,"201","48","340100"
"TX","48201340200",10048,3340,37512423,0,14.4836,0,29.607618,-95.121768,"Harris",18.2270362497236,"201","48","340200"
"TX","48201340300",11250,3830,7456158,0,2.8788,0,29.59643,-95.119461,"Harris",18.7953190241095,"201","48","340300"
"TX","48201340400",1496,536,1653771,0,0.6385,0,29.579474,-95.114823,"Harris",19.7380487995242,"201","48","340400"
"TX","48201340500",6423,3158,2925923,0,1.1297,0,29.56643,-95.122386,"Harris",19.9810259045929,"201","48","340500"
"TX","48201340600",2647,989,1644749,0,0.635,0,29.57493,-95.132387,"Harris",19.1418594553899,"201","48","340600"
"TX","48201340700",7571,2699,3171821,0,1.2246,0,29.562031,-95.134475,"Harris",19.6588436659433,"201","48","340700"
"TX","48201340800",6420,2059,2556359,0,0.987,0,29.581762,-95.143979,"Harris",18.3091835101535,"201","48","340800"
"TX","48201340900",4151,2159,3872480,0,1.4952,0,29.561598,-95.150509,"Harris",19.0015066834733,"201","48","340900"
"TX","48201341000",6021,3254,3130180,0,1.2086,0,29.552547,-95.141559,"Harris",19.824813300168,"201","48","341000"
